event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
HTI4345,"07 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Former Government of Haiti (2017-); Government of Haiti (2017-)",6,,,0,60,,332,Caribbean,Haiti,Nord-Est,"Trou Du Nord","Trou du Nord",Trou-du-Nord,19.6166,-72.0244,1,"Le Nouvelliste",National,"On 7 July 2023, in Trou-du-Nord, Nord-Est, citizens, supporters, and political representatives held a march to demand justice for the killing of former President Jovenel Moise, in July 2021 (coded separately). Protesters claimed the perpetrators to be arrested and charged. The demonstration was led by a former senator and high-ranking officials. The march was held on the occasion of the second anniversary of the killing.",0,"crowd size=no report",1689019388
HTI4361,"07 July 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Unidentified Gang (Haiti)",,3,13,,332,Caribbean,Haiti,Artibonite,Gonaives,Gonaives,Gonaives,19.4475,-72.689,1,"Haiti Progress; Le Nouvelliste; PNH: National Police of Haiti; Rezo Nodwes",National,"On 7 July 2023, in Gonaives, Artibonite, police forces shot and killed a gang member during a police intervention in the Jubilee neighbourhood. 1 fatality.",1,,1689610491
HTI4363,"07 July 2023",2023,1,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Haiti)",,3,"Police Forces of Haiti (2017-)",,1,13,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Delmas",18.5447,-72.3028,1,"RNDDH: National Human Rights Defense Network",Other,"On 7 July 2023, in Port-au-Prince - Delmas, Ouest, unidentified armed men shot and injured a police officer during a kidnapping attempt in Delmas 3. The officer managed to escape from being abducted. 1 injured.",0,,1689610491
HTI4353,"06 July 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Haiti)",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Tabarre",18.5833,-72.2667,1,"Alterpresse; Le Nouvelliste",National,"On 6 July 2023, in Port-au-Prince - Tabarre, Ouest, overnight, around 20 armed men violently entered a hospital managed by Doctors Without Borders (nature of this violence unknown) and kidnapped a patient from an operating room. The victim was being intervened, as he had been injured by gunshots. The affiliation of the man was not clarified, although he was likely to be a rival to the kidnappers. The hospital suspended his activity following the incident. The whereabouts of the victim are unknown.",0,,1689019388
HTI4355,"06 July 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)",,6,,,0,60,,332,Caribbean,Haiti,Sud,Cayes,"Les Cayes","Les Cayes",18.1933,-73.746,1,"Le Nouvelliste",National,"On 6 July 2023, in Les Cayes, Sud, a group of political militants held a protest to demand the resignation of Prime Minister Ariel Henry. They also descried insecurity and demanded the liberation of an US citizen who was arrested on 4 July.",0,"crowd size=no report",1689019388
HTI4356,"06 July 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Haiti)",,3,"Civilians (Haiti)","Health Workers (Haiti)",7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Delmas",18.5447,-72.3028,1,"Gazette Haiti; Le Nouvelliste; RNDDH: National Human Rights Defense Network",Other-National,"On 6 July 2023, in Port-au-Prince - Delmas, Ouest, unidentified armed men kidnapped at least three civilians in Delmas 48. There was a doctor among the victims. There is no further information on the circumstances of the abductions and the perpetrators, although latest reports suggest that most abductions are gang-related. The whereabouts of the victims are unknown.",0,,1689610491
HTI4343,"05 July 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Base 5 Secondes Gang",,3,13,,332,Caribbean,Haiti,Nippes,Miragoane,Miragoane,"Saint Michel du Sud",18.3753,-73.1105,1,"Haiti Standard; Le Nouvelliste",National,"On 5 July 2023, in Saint Michel du Sud, Nippes, police forces shot and killed a member of the Base 5 Secondes Gang during a security operation. 1 fatality.",1,,1689019388
HTI4348,"05 July 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Armed Group (Haiti)",,3,"Civilians (Haiti)","Taxi/Bus Drivers (Haiti)",7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,"Croix Des Bouquets","Croix Des Bouquets","Bon Repos",18.6257,-72.2709,1,"Le Nouvelliste; Rezo Nodwes",National,"On 5 July 2023, in Bon Repos, Ouest, unidentified armed men in a vehicle without license plate shot and killed at least four people (drive-by). Most of the victims were moto taxi drivers. The motivation for the attack is unknown. At least 4 fatalities.",4,,1689019388
HTI4352,"04 July 2023",2023,2,"Political violence",Battles,"Armed clash","Unidentified Armed Group (Haiti)",,3,"Unidentified Armed Group (Haiti)",,3,33,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Cite Soleil",18.5783,-72.3356,1,"Haiti Press Network",National,"Around 4 July 2023 (as reported), in Port-au-Prince - Cite Soleil, members of rival armed groups clashed. Clashes were reported for several days. Casualties unknown.",0,,1689019388
HTI4354,"04 July 2023",2023,1,"Strategic developments","Strategic developments","Looting/property destruction","Police Forces of Haiti (2017-)",,1,"Unidentified Gang (Haiti)",,3,13,,332,Caribbean,Haiti,Sud,Aquin,Cavaillon,Lilet,18.2289,-73.6691,1,"Le Nouvelliste; PNH: National Police of Haiti; Rezo Nodwes",National,"Property destruction: On 4 July 2023, in Lilet, Sud, police forces seized more than 2 tones of cocaine. A man transporting it was arrested.",0,,1689019388
HTI4351,"03 July 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Base 5 Secondes Gang",,3,13,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Le Nouvelliste",National,"On 3 July 2023, in Port-au-Prince, Ouest, police forces clashed with members of the Base 5 Secondes Gang in the Bicentenaire and Portail Leogane areas. Casualties unknown.",0,,1689019388
HTI4359,"02 July 2023",2023,1,"Political violence","Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Haiti)",,3,"Civilians (Haiti)",,7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Delmas",18.5447,-72.3028,1,"Le Nouvelliste",National,"On 2 July 2023, in Port-au-Prince - Delmas, Ouest, unidentified armed men kidnapped a person in Delmas 75. There is no further information on the circumstances of the abduction and the perpetrators, although latest reports suggest that most abductions are gang-related. The whereabouts of the victim are unknown.",0,,1689610491
HTI4349,"01 July 2023",2023,1,"Political violence",Riots,"Mob violence","Rioters (Haiti)","Vigilante Group (Haiti)",5,"Civilians (Haiti)","Unidentified Gang (Haiti); Prisoners (Haiti)",7,57,"Civilian targeting",332,Caribbean,Haiti,Ouest,"Croix Des Bouquets",Ganthier,Ganthier,18.5318,-72.0698,1,"Le Nouvelliste; Metropole",National,"On 1 July 2023, in Ganthier, Ouest, a mob of residents lynched two arrested gang members. The alleged gangs were held by the police who had arrested them the same day. The attack was described as vigilante violence. 2 fatalities.",2,"crowd size=no report",1689019388
HTI4370,"01 July 2023",2023,1,"Strategic developments","Strategic developments",Other,"G-9 Gang",,3,"G-Pep La Gang",,3,33,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,"Port-au-Prince - Cite Soleil",18.5783,-72.3356,1,"Gazette Haiti; Haiti Press Network; Le Nouvelliste; Metropole",National,"Other: On 1 July 2023, in Port-au-Prince - Cite Soleil, Ouest, rival gangsters from the G-9 and the G-Pep La Gang agreed a truce in the commune as a priest had interceded between the parts and had promoted a cease fire. According to the priest, two leaders of each gang signed a document promising 'our loving God to work hard to end violence and bring peace to all people'. The truce was confirmed by residents.",0,,1690215154
HTI4329,"27 June 2023",2023,1,"Political violence","Violence against civilians",Attack,"Unidentified Gang (Haiti)",,3,"Civilians (Haiti)","Unidentified Gang (Haiti); Taxi/Bus Drivers (Haiti)",7,37,"Civilian targeting",332,Caribbean,Haiti,Ouest,"Croix Des Bouquets","Croix Des Bouquets","Bon Repos",18.6257,-72.2709,1,"Haiti Standard; Le Nouvelliste",National,"On 27 June 2023, in Bon Repos, Ouest, unidentified armed men shot and killed at least eight civilians in the Lilavwa neighborhood. There was a moto-taxi driver among the victims. Residents described the victims as informants to gangsters. The perpetrators of the attack are unknown. At least 8 fatalities.",8,,1688412457
HTI4342,"27 June 2023",2023,1,Demonstrations,Protests,"Peaceful protest","Protesters (Haiti)","Police Forces of Haiti (2017-)",6,,,0,60,,332,Caribbean,Haiti,Ouest,Port-au-Prince,,Port-au-Prince,18.5435,-72.3388,1,"Le Nouvelliste",National,"On 27 June 2023, in Port-au-Prince, Ouest, police agents held a protest to demand higher wages. They asked for a minimum salary of 2,500 gourdes.",0,"crowd size=no report",1688412457
HTI4328,"26 June 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Canaan Gang",,3,13,,332,Caribbean,Haiti,Ouest,"Croix Des Bouquets","Croix Des Bouquets","Bon Repos",18.6257,-72.2709,1,"Le Nouvelliste; PNH: National Police of Haiti; Rezo Nodwes; VOA Radio",National-International,"On 26 June 2023, in Bon Repos, Ouest, police forces shot and killed two gang members and arrested four others during a security operation in Moleard 20 area. One of the deceased was a local leader of the Canaan gang. The police seized five motorcycles and arrested four gang members. 2 fatalities.",2,,1688412457
HTI4322,"25 June 2023",2023,1,"Political violence",Battles,"Armed clash","Police Forces of Haiti (2017-)",,1,"Unidentified Gang (Haiti)",,3,13,,332,Caribbean,Haiti,Nord,"Cap Haitien","Cap Haitien",Cap-Haitien,19.7594,-72.1982,1,"Le Nouvelliste; Rezo Nodwes; VOA Radio",National-International,"On 25 June 2023, in Cap-Haitien, Nord, for the second consecutive day, police forces clashed with gang members during anti-gang operations in the Shada 1 neighborhood. Police shot and killed three gang members and seized several fire weapons. Between 24 and 25 June, five gangsters were killed in anti-gang operations in the Shada neighborhood (coded separately). 3 fatalities.",3,,1688412457
